Plant,Treatment,DSI,AUDSC,RFVL,GBNVPI
Cowpea,T1,95.83,514.58,1.43,0.0
Cowpea,T2,29.17,125.0,0.34,0.7197509695700992
Cowpea,T3,16.67,89.58,0.09,0.9217755130537514
Cowpea,T4,8.33,50.0,0.03,0.9998338625893286
Cowpea,T1,90.0,528.75,1.0,0.03228603680713282
Cowpea,T2,25.0,106.25,0.13,0.8543965924447117
Cowpea,T3,15.0,70.0,0.07,0.9416478787041037
Cowpea,T4,10.0,41.25,0.04,0.9852735218337998
Cowpea,T1,92.5,589.17,1.05,0.01844125258452023
Cowpea,T2,27.68,108.33,0.26,0.7704986601253647
Cowpea,T3,16.6,69.08,0.07,0.9327872168016317
Cowpea,T4,8.3,48.33,0.03,1.0
N. benthamiana,T1,100.0,1058.33,1.01,2.220446049250313e-16
N. benthamiana,T2,58.3,725.0,0.09,0.7948977932344004
N. benthamiana,T3,58.3,508.33,0.06,0.813946628544394
N. benthamiana,T4,25.0,425.0,0.04,1.0
N. benthamiana,T1,100.0,1054.17,1.0,0.0
N. benthamiana,T2,75.0,770.83,0.08,0.7143100395332064
N. benthamiana,T3,66.6,666.67,0.05,0.7770878490921828
N. benthamiana,T4,54.16,550.0,0.02,0.8608972129328127
N. benthamiana,T1,100.0,1116.67,1.01,0.0
N. benthamiana,T2,87.43,795.38,0.07,0.6559511810752451
N. benthamiana,T3,69.88,690.0,0.04,0.7663623375840065
N. benthamiana,T4,58.92,450.0,0.02,0.8361174608583892
